advertiser_id,platform,location_at,latitude,longitude,altitude,horizontal_accuracy,vertical_accuracy,speed,publisher_id,model,day
14,1,1581129549,40.739647,-73.982545,10.6,14.3,0,4.873939346,4,22,1
9,1,1581821046,40.766478,-73.980319,29.1,35.1,0,-1,4,20,9
45,0,1581878729,40.7972986,-73.9486884,56.39999771,15,0,0,4,9,9
17,1,1581298039,40.777439,-73.948972,16.5,20,0,-1,4,21,3
16,1,1581345953,40.805737,-73.932555,4.1,10,0,4.619999886,4,15,3
1,1,1581137716,40.756736,-73.990689,-1,10.7,0,-1,4,22,1
1,1,1581950786,40.778853,-73.982088,24.3,14.2,0,0,4,22,10
17,1,1582262597,40.770461,-73.954336,11.6,14.2,0,2.241265719,4,21,14
17,1,1581393196,40.77747,-73.949072,16.2,65,0,-1,4,21,4
41,1,1581728416,40.76569628,-73.99193896,8.525939941,65,0,-1,4,19,8
27,0,1581326372,40.8040623,-73.9682366,0,16.4,-1,0.021208106,7,8,3
15,1,1581529822,40.837456,-73.948561,19.3,65,0,-1,4,26,5
36,1,1581389629,40.710033,-73.997573,6.2,65,0,-1,4,21,4
2,1,1581168487,40.816466,-73.938341,7.7,65,0,-1,4,14,1
7,1,1582306560,40.849034,-73.939774,57.9,165,0,-1,1,16,14
6,1,1582056298,40.754329,-73.971241,16.5,25,0,0.920000017,4,16,11
42,0,1581199179,40.7322925,-74.0007478,-31.49999809,16.1,-1,0,0,7,1
4,0,1581617041,40.7670754,-73.9844698,49.39999771,28.2,2,0,5,4,6
29,0,1581231089,40.729496,-73.9768273,0,16.4,-1,0,3,2,2
40,1,1581731968,40.708496,-73.999378,5.3,10,0,14.35999966,4,13,8
31,0,1581714240,40.7981789,-73.9225309,-29.5,3.2,0,5.7427883,4,11,7
21,1,1581384839,40.745249,-73.988789,15,65,0,-1,2,20,4
17,1,1581245543,40.777337,-73.949017,17,22.4,0,-1,4,21,2
37,0,1581254649,40.7354237,-73.9898623,-21.10000038,12.2,0,4.4031677,4,8,2
13,1,1581811045,40.75115,-73.971499,19.1,65,0,-1,4,23,8
29,0,1582163101,40.7294575,-73.9768501,-15.39999962,22.7,2,0,7,2,13
40,1,1582155167,40.718375,-73.974946,3.1,10,0,14.26000023,4,13,12
44,1,1582155564,40.728505,-73.981812,7,27.1,0,0,4,24,12
37,0,1582036893,40.7552368,-73.9737245,-19.29999924,20.5,0,0.049045928,4,8,11
27,0,1581472212,40.8040485,-73.9681963,11,26,6.7,0,7,8,5
24,1,1582240371,40.82876,-73.946548,36.6,66,0,-1,4,23,13
46,0,1581700212,40.7694906,-73.9640275,-8.699999809,16.8,0,0,4,1,7
37,0,1581531160,40.7956809,-73.9220933,-16.88476563,4.5,0,18.75289,4,8,5
23,1,1581803014,40.778893,-73.974277,29.4,10,0,1.120000005,4,16,8
22,1,1581877001,40.822685,-73.94867,22.5,24.5,0,-1,4,25,9
29,0,1581628328,40.760343,-73.9883159,0,17.4,-1,0,3,2,6
41,1,1582122870,40.7800147,-73.98147718,25.19046402,65,0,-1,4,19,12
29,0,1581657569,40.7295915,-73.976894,0,15.3,-1,0.002705878,7,2,7
9,1,1581990781,40.766357,-73.980139,29.6,65,0,-1,4,20,11
4,0,1581387800,40.7670241,-73.9839918,72.40000153,16.9,2,0,5,4,4
28,0,1581854160,40.7121971,-73.9873037,-5.599999905,15.4,-1,0,0,6,9
22,1,1582183787,40.822669,-73.948527,29.8,65,0,-1,4,25,13
17,1,1581599539,40.777485,-73.948864,15.8,65,0,-1,4,21,6
45,0,1582028102,40.7972981,-73.9486887,56.5,15.3,0,0,4,9,11
30,1,1581492508,40.824559,-73.944357,27.5,65,0,-1,4,24,5
49,1,1581444006,40.734152,-73.985332,11.5,65,0,-1,4,25,4
3,1,1581981248,40.71756,-73.997884,11.2,65,0,-1,4,17,10
29,0,1581681748,40.7304427,-73.9801903,-29,17.6,2,0,3,2,7
33,1,1581183788,40.779946,-73.946947,10.4,25,0,2.019999981,4,14,1
41,1,1582247235,40.76259346,-73.97757876,21.3313014,64.1,0,0.377175748,4,19,14
28,0,1581374250,40.7281334,-73.9936748,-17,15.9,-1,0,0,6,3
45,0,1582024362,40.7972977,-73.9486886,56.5,15.7,0,0,4,9,11
46,0,1582325420,40.7740576,-73.9633429,-13.59999943,15.9,0,0,4,1,14
34,0,1581188026,40.7809771,-73.94532,0,16.1,0,0,4,3,1
14,1,1581628562,40.74909,-73.975753,15.1,65,0,-1,4,22,6
12,1,1582287821,40.710153,-73.995609,4.7,41.8,0,-1,4,15,14
23,1,1581774575,40.74898,-73.99369,14.9,65,0,-1,4,16,8
7,1,1581918536,40.786345,-73.940308,5.3,65,0,-1,1,16,10
37,0,1581173613,40.739244,-73.9869716,-21.29999924,14.8,0,0.38534778,4,8,1
19,1,1581437175,40.714688,-73.997889,10.7,65,0,-1,4,22,4
35,1,1582265365,40.752809,-74.003012,7.4,65,0,-1,4,21,14
44,1,1581561289,40.728421,-73.981706,8.1,65,0,-1,4,24,6
13,1,1582147426,40.766741,-73.962713,26.6,65,0,-1,4,23,12
9,1,1581552958,40.766351,-73.980221,29.9,65,0,-1,4,20,6
18,0,1581887024,40.7626662,-73.9492779,-10.29999924,15.9,0,0,4,10,9
18,0,1581170068,40.7626981,-73.9492722,-11.29999924,15.8,0,0,4,10,1
2,1,1581889455,40.794848,-73.944486,7.9,65,0,-1,4,14,9
40,1,1581250314,40.776249,-73.942467,2.3,30,0,21.73999977,4,13,2
